Stress Level,HRNmean,HRstd,HRNSD,HRNFD,avNN,sdNN,rMSSD,PHRNN50,PHRNN20,HRV_HTI,HRV_ShanEn,HRV_MFDFA_alpha1_Asymmetry,BRNmean,BRstd,BRNFD,BRNSD,BRV,BRavNN,BRavNN.1,RSP_Phase_Duration_Inspiration,RSP_Phase_Duration_Expiration,RSP_Phase_Duration_Ratio,RSP_Symmetry_RiseDecay,RSP_Symmetry_PeakTrough
1,87.35189812,0.231919053,0.254756781,0.274497096,69.21473981,11.43721428,13.2793555,0,13.59390793,3.004195759,4.868078747,-0.390825741,10.93800836,13.35548555,0.009900371,0.000140178,560.395,35.62429132,133.4602065,0.277144381,0.289837222,0.989668833,0.509068057,0.55436802
1,85.00087632,0.228470326,0.24794827,0.272615721,70.81106869,8.992037355,10.08821979,0,4.84969274,2.886942826,4.748836075,-0.304260152,10.12725185,11.92381888,0.009166174,0.000127147,613.0061905,32.5665212,184.5309169,0.351379048,0.287510714,1.266416172,0.524338195,0.500626464
1,83.89697058,0.230066331,0.256807747,0.276012011,71.81730282,10.94143142,12.08079309,0.192771084,8.706915822,3.31025974,4.822807981,-0.353068477,9.269685757,12.55263074,0.008295017,0.000104259,731.5447619,35.76049516,261.8381121,0.354758429,0.41760381,0.846141895,0.474096008,0.531932517
1,81.90287371,0.227527324,0.235408124,0.261944224,73.47829864,10.69482777,10.50603843,0,5.549967043,3.488545078,4.848116769,-0.385538736,10.52881586,11.2023815,0.009300564,0.000123204,585.7028571,29.75963319,117.0953833,0.257756667,0.327311429,0.78840961,0.444375206,0.475891961
0,87.58792707,0.238267068,0.217664465,0.253159869,68.70838736,8.923502912,9.491938606,0,3.144395765,2.925120773,4.694773699,-0.210309072,10.81746015,8.61508225,0.009385049,0.000121955,570.537037,23.20805758,130.4468802,0.269066667,0.297388889,0.925155014,0.489611521,0.533746581
1,70.55051422,0.208246561,0.177891898,0.23644348,85.44389217,10.62094492,11.77868189,0.727619048,8.884946695,2.799318182,4.598864597,-0.40885656,13.50705391,3.186599871,0.009825489,0.000161407,453.9810909,6.664700061,120.305924,0.214906061,0.232625091,0.924628619,0.48481906,0.534716035
1,71.90647305,0.202163814,0.181127627,0.2364547,84.07335894,13.31202778,14.29313784,2.873239437,11.83581489,3.315393612,4.886465416,-0.441543163,13.1209079,5.642669628,0.008664861,0.000138292,491.0048485,13.27985077,187.6531468,0.248469143,0.239405541,1.044341481,0.517210094,0.510753926
1,72.84257811,0.202324319,0.178741875,0.236082417,82.95131218,14.03798536,14.94688903,1.315068493,14.17284685,3.03268461,4.768923615,-0.505251178,13.97606223,3.204698461,0.010278754,0.000167624,444.9127273,7.109432516,152.8148753,0.213904615,0.226081818,0.9707244,0.505485558,0.522740253
1,75.97129085,0.190766896,0.181227556,0.239700575,79.9925231,15.46233063,16.84551022,0.953412784,18.53597604,3.450881595,4.97343863,-0.494113883,13.97213475,4.484568596,0.009524077,0.000160091,452.6103636,9.939947945,172.1801321,0.237626666,0.216934182,1.086884163,0.509251511,0.505492448
0,77.0158141,0.195577053,0.206047827,0.25090282,78.5,16.56474811,17.77098757,2,18.66666667,3.768382353,5.035420485,-0.473946429,11.31870238,4.225914954,0.009354287,0.000144356,562,10.23523805,191.0136649,0.285888889,0.2613125,1.114430192,0.523700383,0.551364398
1,78.03054483,0.18624722,0.216779464,0.255076568,77.12893273,11.62299473,11.99902077,0.836709957,7.039288639,3.408769231,4.922619294,-0.464622029,11.80913473,2.824044815,0.010206106,0.000161974,513.9793939,7.267951751,168.2019417,0.243926182,0.273132121,0.912184898,0.48156548,0.538796734
1,72.57437493,0.186556771,0.212111419,0.247552478,83.01098985,10.74117637,11.98935557,0,8.482127316,3.526190476,4.878588411,-0.441902171,10.29426196,3.136393894,0.00957222,0.000143866,601.9653333,8.347681742,165.9968704,0.293769143,0.292436,1.023408725,0.498862735,0.54591907
1,72.28812847,0.184046584,0.209161765,0.246670145,83.17921463,9.600976769,9.747970445,0.219178082,5.882296194,3.462787879,4.658848175,-0.646301485,11.15662219,2.912665322,0.009952179,0.000161525,530.7712554,7.710014543,124.0530792,0.236924444,0.314244069,0.775777673,0.386951549,0.487691732
1,72.53276852,0.183749629,0.203266009,0.23861553,83.05705535,12.78125345,11.48688372,0,5.698482743,3.806817814,4.962876191,-0.528098643,13.59360485,3.023866375,0.011378137,0.000198404,458.88,7.556521334,192.3917921,0.212663347,0.246134667,0.862916014,0.467664386,0.5237303
0,74.36800721,0.179349804,0.205073055,0.240786123,81.3073313,15.90058687,16.77764623,3.691019787,18.43607306,4.013888889,5.090208091,-0.48527773,14.27012776,3.367544452,0.012417091,0.000207303,449.5608974,9.250866281,203.3110407,0.255687831,0.183108974,1.38083282,0.560747945,0.54422557
